no_points_tx_00                         	are there any transactions i can't earn points from
no_points_tx_00                         	are there any transaction that won't earn reward points
no_points_tx_00                         	are there any transaction that i wouldn't earn points from
accelerator_01                         	tell me something about accelerators
accelerator_01                         	how do i use accelerators
accelerator_01                         	what is an accelerator
card_benefits_02                         	what benefits does my card qualify me for
card_benefits_02                         	what benefits am i eligible for
card_benefits_02                         	where can i find more about the benefits of my card
shoprunner_03                         	what stores can i use shoprunner with
shoprunner_03                         	getting started with shoprunner
shoprunner_03                         	where can i use shoprunner
postmates_04                         	tell me what postmates does
postmates_04                         	what is postmates
postmates_04                         	how do i use postmates
im_not_around_05                  	what do you do when i'm not around
im_not_around_05                	what do you do during your free time
im_not_around_05                  	how do you pass the time when you're not speaking to customers
